latitude,longitude,irradiance
-34.0,-86.0,4.661384615384614
-34.0,-84.0,4.662769230769231
-34.0,-82.0,4.713615384615385
-34.0,-80.0,4.747923076923077
-34.0,-78.0,4.811999999999999
-34.0,-76.0,4.997384615384615
-34.0,-74.0,5.056692307692308
-34.0,-72.0,5.204384615384615
-34.0,-70.0,5.157307692307692
-34.0,-68.0,5.43376923076923
-34.0,-66.0,5.208923076923077
-34.0,-64.0,4.9886923076923075
-34.0,-62.0,4.929615384615384
-34.0,-60.0,4.86123076923077
-32.0,-90.0,4.891230769230768
-32.0,-88.0,4.868615384615384
-32.0,-86.0,4.863153846153845
-32.0,-84.0,4.841538461538462
-32.0,-82.0,4.841923076923077
-32.0,-80.0,4.876076923076922
-32.0,-78.0,4.952769230769231
-32.0,-76.0,5.016538461538461
-32.0,-74.0,4.950692307692307
-32.0,-72.0,5.387076923076924
-32.0,-70.0,6.051230769230769
-32.0,-68.0,5.725846153846153
-32.0,-66.0,5.359307692307692
-32.0,-64.0,5.0586153846153845
-32.0,-62.0,5.013846153846154
-32.0,-60.0,4.899461538461539
-30.0,-90.0,5.077769230769231
-30.0,-88.0,5.035692307692308
-30.0,-86.0,5.000461538461538
-30.0,-84.0,4.984
-30.0,-82.0,4.961076923076923
-30.0,-80.0,4.956538461538462
-30.0,-78.0,4.982923076923076
-30.0,-76.0,4.985153846153846
-30.0,-74.0,4.827307692307692
-30.0,-72.0,4.910076923076924
-30.0,-70.0,6.295923076923077
-30.0,-68.0,5.817230769230769
-30.0,-66.0,5.3067692307692305
-30.0,-64.0,5.0275384615384615
-30.0,-62.0,5.009076923076924
-30.0,-60.0,4.946769230769231
-28.0,-90.0,5.202384615384615
-28.0,-88.0,5.143615384615385
-28.0,-86.0,5.09
-28.0,-84.0,5.045769230769231
-28.0,-82.0,5.007
-28.0,-80.0,4.995461538461539
-28.0,-78.0,4.954461538461539
-28.0,-76.0,4.882692307692308
-28.0,-74.0,4.688846153846153
-28.0,-72.0,4.517230769230769
-28.0,-70.0,6.751923076923077
-28.0,-68.0,6.193307692307692
-28.0,-66.0,4.844153846153846
-28.0,-64.0,4.955384615384615
-28.0,-62.0,5.004769230769231
-28.0,-60.0,4.964307692307692
-26.0,-90.0,5.2695384615384615
-26.0,-88.0,5.189692307692308
-26.0,-86.0,5.115538461538462
-26.0,-84.0,5.060153846153846
-26.0,-82.0,5.014538461538462
-26.0,-80.0,4.968692307692308
-26.0,-78.0,4.91
-26.0,-76.0,4.777461538461538
-26.0,-74.0,4.584846153846153
-26.0,-72.0,4.429615384615384
-26.0,-70.0,7.140384615384615
-26.0,-68.0,6.9779230769230765
-26.0,-66.0,5.398538461538462
-26.0,-64.0,4.969076923076924
-26.0,-62.0,4.914153846153846
-26.0,-60.0,4.959153846153846
-24.0,-90.0,5.2603846153846145
-24.0,-88.0,5.173230769230769
-24.0,-86.0,5.096846153846153
-24.0,-84.0,5.048615384615385
-24.0,-82.0,4.970769230769231
-24.0,-80.0,4.893846153846154
-24.0,-78.0,4.777615384615386
-24.0,-76.0,4.611076923076922
-24.0,-74.0,4.491846153846154
-24.0,-72.0,4.753692307692308
-24.0,-70.0,7.180615384615384
-24.0,-68.0,7.2942307692307695
-24.0,-66.0,6.233846153846154
-24.0,-64.0,4.941230769230771
-24.0,-62.0,4.928615384615385
-24.0,-60.0,5.003153846153847
-22.0,-90.0,5.258615384615384
-22.0,-88.0,5.140999999999999
-22.0,-86.0,5.047923076923077
-22.0,-84.0,4.960923076923078
-22.0,-82.0,4.848307692307692
-22.0,-80.0,4.742461538461538
-22.0,-78.0,4.658923076923077
-22.0,-76.0,4.55323076923077
-22.0,-74.0,4.523846153846154
-22.0,-72.0,4.702999999999999
-22.0,-70.0,7.074846153846154
-22.0,-68.0,6.913153846153847
-22.0,-66.0,6.508461538461538
-22.0,-64.0,4.923846153846154
-22.0,-62.0,4.902923076923077
-22.0,-60.0,5.046307692307693
-20.0,-90.0,5.238
-20.0,-88.0,5.120153846153846
-20.0,-86.0,5.000384615384615
-20.0,-84.0,4.889
-20.0,-82.0,4.73623076923077
-20.0,-80.0,4.653692307692308
-20.0,-78.0,4.605615384615385
-20.0,-76.0,4.611153846153846
-20.0,-74.0,4.692384615384615
-20.0,-72.0,4.677307692307692
-20.0,-70.0,7.03923076923077
-20.0,-68.0,6.499538461538462
-20.0,-66.0,6.164230769230769
-20.0,-64.0,4.977307692307692
-20.0,-62.0,4.977
-20.0,-60.0,5.070153846153846
-60.0,-58.0,2.2957692307692312
-60.0,-56.0,2.2524615384615383
-60.0,-54.0,2.1917692307692307
-60.0,-52.0,2.157076923076923
-60.0,-50.0,2.1143846153846155
-60.0,-48.0,2.1036923076923078
-60.0,-46.0,2.0796923076923077
-60.0,-44.0,2.1133846153846156
-60.0,-42.0,2.1316923076923078
-60.0,-40.0,2.1712307692307693
-60.0,-38.0,2.1702307692307694
-60.0,-36.0,2.2386923076923075
-60.0,-34.0,2.2935384615384615
-60.0,-32.0,2.368384615384615
-60.0,-30.0,2.399615384615385
-58.0,-58.0,2.509
-58.0,-56.0,2.4688461538461532
-58.0,-54.0,2.400846153846154
-58.0,-52.0,2.353384615384616
-58.0,-50.0,2.3023076923076924
-58.0,-48.0,2.252230769230769
-58.0,-46.0,2.1925384615384615
-58.0,-44.0,2.1736153846153843
-58.0,-42.0,2.136
-58.0,-40.0,2.1087692307692305
-58.0,-38.0,2.126
-58.0,-36.0,2.1170000000000004
-58.0,-34.0,2.1052307692307695
-58.0,-32.0,2.112923076923077
-58.0,-30.0,2.1963846153846154
-56.0,-58.0,2.6627692307692308
-56.0,-56.0,2.6153076923076926
-56.0,-54.0,2.576
-56.0,-52.0,2.508538461538462
-56.0,-50.0,2.477
-56.0,-48.0,2.4596153846153848
-56.0,-46.0,2.422
-56.0,-44.0,2.387153846153846
-56.0,-42.0,2.328230769230769
-56.0,-40.0,2.292692307692308
-56.0,-38.0,2.221769230769231
-56.0,-36.0,2.2451538461538463
-56.0,-34.0,2.3019230769230767
-56.0,-32.0,2.3063846153846153
-56.0,-30.0,2.3122307692307693
-54.0,-58.0,3.003769230769231
-54.0,-56.0,2.9149999999999996
-54.0,-54.0,2.8304615384615386
-54.0,-52.0,2.743769230769231
-54.0,-50.0,2.705923076923077
-54.0,-48.0,2.6888461538461534
-54.0,-46.0,2.654461538461538
-54.0,-44.0,2.602230769230769
-54.0,-42.0,2.5526923076923076
-54.0,-40.0,2.5076923076923077
-54.0,-38.0,2.744307692307692
-54.0,-36.0,2.847692307692308
-54.0,-34.0,2.6420769230769223
-54.0,-32.0,2.537923076923077
-54.0,-30.0,2.454076923076923
-52.0,-58.0,3.178923076923077
-52.0,-56.0,3.190923076923077
-52.0,-54.0,3.114923076923077
-52.0,-52.0,3.031230769230769
-52.0,-50.0,2.981923076923077
-52.0,-48.0,2.95
-52.0,-46.0,2.8915384615384614
-52.0,-44.0,2.812846153846154
-52.0,-42.0,2.787
-52.0,-40.0,2.7339230769230767
-52.0,-38.0,2.7164615384615383
-52.0,-36.0,2.6856153846153847
-52.0,-34.0,2.699
-52.0,-32.0,2.6657692307692304
-52.0,-30.0,2.5965384615384615
-50.0,-58.0,3.583230769230769
-50.0,-56.0,3.483
-50.0,-54.0,3.400846153846154
-50.0,-52.0,3.3086153846153845
-50.0,-50.0,3.245538461538462
-50.0,-48.0,3.1628461538461536
-50.0,-46.0,3.108
-50.0,-44.0,3.0836923076923077
-50.0,-42.0,3.054846153846154
-50.0,-40.0,3.0083076923076923
-50.0,-38.0,2.925384615384615
-50.0,-36.0,2.8689999999999998
-50.0,-34.0,2.8181538461538462
-50.0,-32.0,2.7953076923076923
-50.0,-30.0,2.775923076923077
-48.0,-58.0,3.8357692307692304
-48.0,-56.0,3.6809999999999996
-48.0,-54.0,3.5127692307692304
-48.0,-52.0,3.3966153846153846
-48.0,-50.0,3.3353076923076923
-48.0,-48.0,3.2836153846153846
-48.0,-46.0,3.2279999999999998
-48.0,-44.0,3.2143846153846156
-48.0,-42.0,3.150076923076923
-48.0,-40.0,3.071230769230769
-48.0,-38.0,3.0446153846153843
-48.0,-36.0,3.0373076923076923
-48.0,-34.0,3.0673846153846154
-48.0,-32.0,3.058769230769231
-48.0,-30.0,3.021769230769231
-46.0,-58.0,4.000538461538461
-46.0,-56.0,3.862538461538462
-46.0,-54.0,3.7526153846153845
-46.0,-52.0,3.6856923076923076
-46.0,-50.0,3.635153846153846
-46.0,-48.0,3.6084615384615386
-46.0,-46.0,3.571
-46.0,-44.0,3.508076923076923
-46.0,-42.0,3.4474615384615386
-46.0,-40.0,3.399769230769231
-46.0,-38.0,3.3900000000000006
-46.0,-36.0,3.359538461538462
-46.0,-34.0,3.350923076923077
-46.0,-32.0,3.3038461538461537
-46.0,-30.0,3.2873846153846156
-44.0,-58.0,4.317769230769231
-44.0,-56.0,4.154923076923077
-44.0,-54.0,3.999461538461538
-44.0,-52.0,3.967
-44.0,-50.0,3.9047692307692303
-44.0,-48.0,3.9071538461538466
-44.0,-46.0,3.8918461538461537
-44.0,-44.0,3.844307692307692
-44.0,-42.0,3.7951538461538465
-44.0,-40.0,3.747692307692308
-44.0,-38.0,3.7335384615384615
-44.0,-36.0,3.6703076923076923
-44.0,-34.0,3.6413076923076924
-44.0,-32.0,3.495
-44.0,-30.0,3.4701538461538464
-42.0,-58.0,4.523230769230769
-42.0,-56.0,4.410384615384616
-42.0,-54.0,4.229384615384615
-42.0,-52.0,4.163846153846153
-42.0,-50.0,4.113153846153846
-42.0,-48.0,4.067461538461538
-42.0,-46.0,4.0734615384615385
-42.0,-44.0,4.004384615384615
-42.0,-42.0,3.9309230769230767
-42.0,-40.0,3.8709999999999996
-42.0,-38.0,3.8325384615384617
-42.0,-36.0,3.795153846153846
-42.0,-34.0,3.8108461538461538
-42.0,-32.0,3.722384615384615
-42.0,-30.0,3.6606153846153844
-40.0,-58.0,4.615769230769231
-40.0,-56.0,4.616307692307692
-40.0,-54.0,4.465000000000001
-40.0,-52.0,4.316076923076922
