latitude,longitude,interpolated_irradiance
-58.38383838383838,-88.18181818181819,2.3705032749227253
-58.38383838383838,-87.57575757575758,2.3706033911774247
-58.38383838383838,-86.96969696969697,2.3700337067839685
-58.38383838383838,-86.36363636363636,2.369675128053188
-58.38383838383838,-85.75757575757575,2.369914773631442
-58.38383838383838,-85.15151515151516,2.371181077623668
-58.38383838383838,-84.54545454545455,2.3735027613032633
-58.38383838383838,-83.93939393939394,2.376515437196907
-58.38383838383838,-83.33333333333333,2.379536475583234
-58.38383838383838,-82.72727272727272,2.3818382174187334
-58.38383838383838,-82.12121212121212,2.3845473060305453
-58.38383838383838,-81.51515151515152,2.3893298707314026
-58.38383838383838,-80.9090909090909,2.396536818826553
-58.38383838383838,-80.3030303030303,2.4025777506766213
-58.38383838383838,-79.6969696969697,2.406058404187414
-58.38383838383838,-79.0909090909091,2.407252698253755
-58.38383838383838,-78.48484848484848,2.405543219043657
-58.38383838383838,-77.87878787878788,2.397979936611278
-58.38383838383838,-77.27272727272727,2.3826562613285427
-58.38383838383838,-76.66666666666667,2.364163034160652
-58.38383838383838,-76.06060606060606,2.348765557998636
-58.38383838383838,-75.45454545454545,2.337081787786239
-58.38383838383838,-74.84848484848484,2.3273220720426084
-58.38383838383838,-74.24242424242425,2.3185380418800063
-58.38383838383838,-73.63636363636364,2.310660570372819
-58.38383838383838,-73.03030303030303,2.3017092715941136
-58.38383838383838,-72.42424242424242,2.2924857602259703
-58.38383838383838,-71.81818181818181,2.2849522494562824
-58.38383838383838,-71.21212121212122,2.277347897119497
-58.38383838383838,-70.60606060606061,2.264340513724214
-58.38383838383838,-70.0,2.2570993329412543
-58.38383838383838,-69.39393939393939,2.2630853107447058
-58.38383838383838,-68.78787878787878,2.281357984325737
-58.38383838383838,-68.18181818181819,2.3065433539246882
-58.38383838383838,-67.57575757575758,2.3421775720374662
-58.38383838383838,-66.96969696969697,2.3790437640949356
-58.38383838383838,-66.36363636363636,2.4098335172457443
-58.38383838383838,-65.75757575757575,2.4381400735071774
-58.38383838383838,-65.15151515151516,2.477792054966149
-58.38383838383838,-64.54545454545455,2.5116158102953157
-58.38383838383838,-63.93939393939394,2.526077102224861
-58.38383838383838,-63.33333333333333,2.532083354519248
-58.38383838383838,-62.72727272727273,2.5322653116520035
-58.38383838383838,-62.121212121212125,2.5259754457090153
-58.38383838383838,-61.515151515151516,2.5146426400288786
-58.38383838383838,-60.90909090909091,2.502920704333555
-58.38383838383838,-60.3030303030303,2.490899343787746
-58.38383838383838,-59.696969696969695,2.4790516642469664
-58.38383838383838,-59.09090909090909,2.4641564787052603
-58.38383838383838,-58.484848484848484,2.444766646302944
-58.38383838383838,-57.878787878787875,2.4288850490690117
-58.38383838383838,-57.27272727272727,2.4157289987795574
-58.38383838383838,-56.666666666666664,2.4023251434474626
-58.38383838383838,-56.06060606060606,2.386105140571424
-58.38383838383838,-55.45454545454545,2.3702413713311645
-58.38383838383838,-54.848484848484844,2.354817890366302
-58.38383838383838,-54.24242424242424,2.339641171001964
-58.38383838383838,-53.63636363636363,2.3249871465941263
-58.38383838383838,-53.03030303030303,2.310474183672197
-58.38383838383838,-52.42424242424242,2.2964984909900448
-58.38383838383838,-51.81818181818182,2.284084964165373
-58.38383838383838,-51.21212121212121,2.272200216307395
-58.38383838383838,-50.6060606060606,2.2566992414298648
-58.38383838383838,-50.0,2.2432716184572437
-58.38383838383838,-49.39393939393939,2.2353626200939685
-58.38383838383838,-48.78787878787879,2.230870260763181
-58.38383838383838,-48.18181818181818,2.2215885505748854
-58.38383838383838,-47.57575757575758,2.212226584404784
-58.38383838383838,-46.96969696969697,2.204838437253917
-58.38383838383838,-46.36363636363636,2.1996496457660313
-58.38383838383838,-45.75757575757576,2.196893725812602
-58.38383838383838,-45.15151515151515,2.1922785231903097
-58.38383838383838,-44.54545454545455,2.185382424201671
-58.38383838383838,-43.93939393939394,2.1788563362532396
-58.38383838383838,-43.33333333333333,2.178428449508232
-58.38383838383838,-42.72727272727273,2.180471057825681
-58.38383838383838,-42.12121212121212,2.18086108342672
-58.38383838383838,-41.515151515151516,2.1777451681399747
-58.38383838383838,-40.90909090909091,2.1722977277096227
-58.38383838383838,-40.303030303030305,2.1670205300236494
